"&","&amp;","&#38;","&#x0026;","yes",1
"≤","&le;","&#8804;","&#x2264;","no",-1
"⌊","&lfloor;","&#8970;","&#x230A;","no",-1
"∗","&lowast;","&#8727;","&#x2217;","no",-1
"◊","&loz;","&#9674;","&#x25CA;","no",-1
"‹","&lsaquo;","&#8249;","&#x2039;","no",-1
"‘","&lsquo;","&#8216;","&#x2018;","no",-1
"¯","&macr;","&#175;","&#x00AF;","no",-1
"—","&mdash;","&#8212;","&#x2014;","no",-1
"µ","&micro;","&#181;","&#x00B5;","no",-1
"·","&middot;","&#183;","&#x00B7;","no",-1
"−","&minus;","&#8722;","&#x2212;","no",-1
"Μ","&Mu;","&#924;","&#x039C;","no",-1
"μ","&mu;","&#956;","&#x03BC;","no",-1
"∇","&nabla;","&#8711;","&#x2207;","no",-1
"–","&ndash;","&#8211;","&#x2013;","no",-1
"≠","&ne;","&#8800;","&#x2260;","no",-1
"∋","&ni;","&#8715;","&#x220B;","no",-1
"¬","&not;","&#172;","&#x00AC;","no",-1
"∉","&notin;","&#8713;","&#x2209;","no",-1
"⊄","&nsub;","&#8836;","&#x2284;","no",-1
"Ñ","&Ntilde;","&#209;","&#x00D1;","no",-1
"ñ","&ntilde;","&#241;","&#x00F1;","no",-1
"Ν","&Nu;","&#925;","&#x039D;","no",-1
"ν","&nu;","&#957;","&#x03BD;","no",-1
"Ó","&Oacute;","&#211;","&#x00D3;","no",-1
"ó","&oacute;","&#243;","&#x00F3;","no",-1
"Ô","&Ocirc;","&#212;","&#x00D4;","no",-1
"ô","&ocirc;","&#244;","&#x00F4;","no",-1
"Œ","&OElig;","&#338;","&#x0152;","no",-1
"œ","&oelig;","&#339;","&#x0153;","no",-1
"Ò","&Ograve;","&#210;","&#x00D2;","no",-1
"ò","&ograve;","&#242;","&#x00F2;","no",-1
"‾","&oline;","&#8254;","&#x203E;","no",-1
"Ω","&Omega;","&#937;","&#x03A9;","no",-1
"ω","&omega;","&#969;","&#x03C9;","no",-1
"Ο","&Omicron;","&#927;","&#x039F;","no",-1
"ο","&omicron;","&#959;","&#x03BF;","no",-1
"⊕","&oplus;","&#8853;","&#x2295;","no",-1
"∨","&or;","&#8744;","&#x2228;","no",-1
"ª","&ordf;","&#170;","&#x00AA;","no",-1
"º","&ordm;","&#186;","&#x00BA;","no",-1
"Ø","&Oslash;","&#216;","&#x00D8;","no",-1
"ø","&oslash;","&#248;","&#x00F8;","no",-1
"Õ","&Otilde;","&#213;","&#x00D5;","no",-1
"õ","&otilde;","&#245;","&#x00F5;","no",-1
"⊗","&otimes;","&#8855;","&#x2297;","no",-1
"Ö","&Ouml;","&#214;","&#x00D6;","no",-1
"ö","&ouml;","&#246;","&#x00F6;","no",-1
"¶","&para;","&#182;","&#x00B6;","no",-1
"∂","&part;","&#8706;","&#x2202;","no",-1
"‰","&permil;","&#8240;","&#x2030;","no",-1
"⊥","&perp;","&#8869;","&#x22A5;","no",-1
"Φ","&Phi;","&#934;","&#x03A6;","no",-1
"φ","&phi;","&#966;","&#x03C6;","no",-1
"Π","&Pi;","&#928;","&#x03A0;","no",-1
"π","&pi;","&#960;","&#x03C0;","no",-1
"ϖ","&piv;","&#982;","&#x03D6;","no",-1
"±","&plusmn;","&#177;","&#x00B1;","no",-1
"£","&pound;","&#163;","&#x00A3;","no",-1
"′","&prime;","&#8242;","&#x2032;","no",-1
"″","&Prime;","&#8243;","&#x2033;","no",-1
"∏","&prod;","&#8719;","&#x220F;","no",-1
"∝","&prop;","&#8733;","&#x221D;","no",-1
"Ψ","&Psi;","&#936;","&#x03A8;","no",-1
"ψ","&psi;","&#968;","&#x03C8;","no",-1
"√","&radic;","&#8730;","&#x221A;","no",-1
"〉","&rang;","&#9002;","&#x232A;","no",-1
"»","&raquo;","&#187;","&#x00BB;","no",-1
"→","&rarr;","&#8594;","&#x2192;","no",-1
"⇒","&rArr;","&#8658;","&#x21D2;","no",-1
"⌉","&rceil;","&#8969;","&#x2309;","no",-1
"”","&rdquo;","&#8221;","&#x201D;","no",-1
"ℜ","&real;","&#8476;","&#x211C;","no",-1
"®","&reg;","&#174;","&#x00AE;","no",-1
"⌋","&rfloor;","&#8971;","&#x230B;","no",-1
"Ρ","&Rho;","&#929;","&#x03A1;","no",-1
"ρ","&rho;","&#961;","&#x03C1;","no",-1
"›","&rsaquo;","&#8250;","&#x203A;","no",-1
"’","&rsquo;","&#8217;","&#x2019;","no",-1
"‚","&sbquo;","&#8218;","&#x201A;","no",-1
"Š","&Scaron;","&#352;","&#x0160;","no",-1
"š","&scaron;","&#353;","&#x0161;","no",-1
"⋅","&sdot;","&#8901;","&#x22C5;","no",-1
"§","&sect;","&#167;","&#x00A7;","no",-1
"Σ","&Sigma;","&#931;","&#x03A3;","no",-1
"σ","&sigma;","&#963;","&#x03C3;","no",-1
"ς","&sigmaf;","&#962;","&#x03C2;","no",-1
"∼","&sim;","&#8764;","&#x223C;","no",-1
"♠","&spades;","&#9824;","&#x2660;","no",-1
"⊂","&sub;","&#8834;","&#x2282;","no",-1
"⊆","&sube;","&#8838;","&#x2286;","no",-1
"∑","&sum;","&#8721;","&#x2211;","no",-1
"¹","&sup1;","&#185;","&#x00B9;","no",-1
"²","&sup2;","&#178;","&#x00B2;","no",-1
"³","&sup3;","&#179;","&#x00B3;","no",-1
"⊃","&sup;","&#8835;","&#x2283;","no",-1
"⊇","&supe;","&#8839;","&#x2287;","no",-1
"ß","&szlig;","&#223;","&#x00DF;","no",-1
"Τ","&Tau;","&#932;","&#x03A4;","no",-1
"τ","&tau;","&#964;","&#x03C4;","no",-1
"∴","&there4;","&#8756;","&#x2234;","no",-1
"Θ","&Theta;","&#920;","&#x0398;","no",-1
"θ","&theta;","&#952;","&#x03B8;","no",-1
"ϑ","&thetasym;","&#977;","&#x03D1;","no",-1
"Þ","&THORN;","&#222;","&#x00DE;","no",-1
"þ","&thorn;","&#254;","&#x00FE;","no",-1
"˜","&tilde;","&#732;","&#x02DC;","no",-1
"×","&times;","&#215;","&#x00D7;","no",-1
"™","&trade;","&#8482;","&#x2122;","no",-1
"Ú","&Uacute;","&#218;","&#x00DA;","no",-1
"ú","&uacute;","&#250;","&#x00FA;","no",-1
"↑","&uarr;","&#8593;","&#x2191;","no",-1
"⇑","&uArr;","&#8657;","&#x21D1;","no",-1
"Û","&Ucirc;","&#219;","&#x00DB;","no",-1
"û","&ucirc;","&#251;","&#x00FB;","no",-1
"Ù","&Ugrave;","&#217;","&#x00D9;","no",-1
"ù","&ugrave;","&#249;","&#x00F9;","no",-1
"¨","&uml;","&#168;","&#x00A8;","no",-1
"ϒ","&upsih;","&#978;","&#x03D2;","no",-1
"Υ","&Upsilon;","&#933;","&#x03A5;","no",-1
"υ","&upsilon;","&#965;","&#x03C5;","no",-1
"Ü","&Uuml;","&#220;","&#x00DC;","no",-1
"ü","&uuml;","&#252;","&#x00FC;","no",-1
"℘","&weierp;","&#8472;","&#x2118;","no",-1
"Ξ","&Xi;","&#926;","&#x039E;","no",-1
"ξ","&xi;","&#958;","&#x03BE;","no",-1
"Ý","&Yacute;","&#221;","&#x00DD;","no",-1
"ý","&yacute;","&#253;","&#x00FD;","no",-1
"¥","&yen;","&#165;","&#x00A5;","no",-1
"ÿ","&yuml;","&#255;","&#x00FF;","no",-1
"Ÿ","&Yuml;","&#376;","&#x0178;","no",-1
"Ζ","&Zeta;","&#918;","&#x0396;","no",-1
"ζ","&zeta;","&#950;","&#x03B6;","no",-1
